id,regression_1,regression_b,regression_3,classification_a,classification_b,split
sample_0034,4.656320330745594,3.0636890789372697,1.3216906130624504,0,0,train
sample_0035,3.0839734811646107,-1.971120746073944,6.515304965126011,1,1,train
sample_0036,-1.9538623082662934,1.5341005317385177,4.562480982086308,0,0,val
sample_0037,-4.023278859936161,2.779261591246874,1.1036427322256055,1,1,train
sample_0038,1.8423302651215687,1.1645679785508483,6.314364878391625,1,2,test
sample_0039,-0.5984750626039865,3.1309607501307024,8.37621856512535,1,0,train
sample_0040,-3.7796176515522117,-0.03457690020074433,2.728501157329499,1,2,val
sample_0041,-0.048230898887298146,3.81869488037116,2.998436533277164,0,1,train
sample_0042,-4.656114788847816,5.5977962472385006,5.8956888100546125,1,1,train
sample_0043,4.093204020787821,0.2743228791206819,7.962652921914019,0,1,train
sample_0044,-2.412200183999831,0.10899495719845642,0.6197382776845721,0,0,train
sample_0045,1.6252228435398202,3.906768954235402,1.2354385702665833,1,2,train
sample_0046,-1.8828892391058902,4.159144291461425,2.3811495302393677,0,0,train
sample_0047,0.20068021177810813,-0.045720054306536584,2.5995719553238605,0,0,train
sample_0048,0.4671027934327965,0.1596263658082855,5.77884828850494,0,1,train
sample_0049,-3.1514554447447294,0.4364307822789856,7.990223110107473,1,2,train
sample_0050,4.695846277645586,-1.688901022068554,8.391587871605974,0,1,train
sample_0051,2.7513282336111455,-0.8373038929683965,0.602287117932379,0,0,train
sample_0052,4.394989415641891,-1.0082815335041357,1.655508083962549,1,1,train
sample_0053,3.9482735042764876,-0.5355951302082569,2.025674045284605,1,2,test
sample_0054,0.9789997881108512,0.9306302252264377,1.649469922410638,0,1,train
sample_0055,4.218742350231167,1.4684294650730414,4.552514914604661,1,2,train
sample_0056,-4.115074979480805,4.101000985628154,4.952138194257775,0,2,train
sample_0057,-3.040171375808548,-0.9967080814775819,3.3499430749134946,0,1,val
sample_0058,-4.54772711089462,2.9686447969531677,3.110346908421905,0,0,train
sample_0059,-1.7466966923673564,0.5720223115489821,2.4663344663850157,1,1,train
sample_0060,-1.1132271031051797,0.9010725806951341,2.708780517807834,0,0,test
sample_0061,-2.286509682261041,2.3496389843332075,9.399227163077438,1,0,train
sample_0062,3.2873750915192943,-1.2454440431245972,5.476116890986783,1,1,train
sample_0063,-1.432466733064107,1.764819492368101,2.5435710127221363,0,0,train
sample_0064,-2.1906549031261924,1.3329044164261121,3.063885335169905,1,0,val
sample_0065,0.4269608315824849,1.9849025280162982,4.628116445236245,1,1,val
sample_0066,-3.5907577502523735,1.578337287815636,1.1032866666968988,1,1,train
sample_0067,3.0219698075403976,5.9106002798217885,3.7162002194318764,1,1,train
sample_0068,-4.254493563202292,-0.2754799685026319,5.267084517390496,1,0,train
sample_0069,4.868869366005173,-0.0619939100036353,4.800946925597254,0,2,train
sample_0070,2.7224476929665737,-0.24628105284952873,1.6849679846373766,1,0,train
sample_0071,-3.012843184658276,-0.11095423832050932,1.9735487218501668,0,2,test
sample_0072,-4.944778828763976,-0.2747742546130354,0.3896404772934161,0,1,test
sample_0073,3.154614284548341,3.3780330622151036,5.661346848994373,0,2,train
sample_0074,2.0685734384761716,3.8410084959797097,12.068412195758214,0,1,train
sample_0075,2.2900716804098735,-0.14149258749895255,1.4784149493648333,0,1,train
sample_0076,2.712703466859457,-0.6647111462084574,7.060643174179008,0,2,test
sample_0077,-4.259553482659096,1.9428311127728082,11.377448888613662,1,1,train
sample_0078,-1.4153427145572737,-0.10444608856194249,2.2704688824435326,1,2,train
sample_0079,-3.841309404748703,2.2658636355110215,3.067190990281985,1,1,train
sample_0080,3.6310342587559354,1.4058460417025995,4.032346227134416,0,0,train
sample_0081,1.2329812682755792,-2.031488229994464,4.692606334375495,1,0,train
sample_0082,-1.6910197514735081,4.095010402660123,4.193657117985295,1,1,train
sample_0083,-4.364416497139763,4.591755346191043,2.4209132252286674,1,1,test
sample_0084,-1.890176782843378,-0.22557738096877245,5.2095717393435415,0,2,train
sample_0085,-1.7481667797325295,0.2245968801280317,2.467180911616324,1,0,train
sample_0086,2.2960617833806403,1.5717307814498098,4.404882397658318,0,2,test
sample_0087,1.3755747135521315,1.66891357997405,3.258346510360843,1,1,train
sample_0088,3.8721274257632654,2.317088545345661,0.5313360272294596,0,1,train
sample_0089,-0.27785074838050683,5.020409077532699,7.768533760856937,0,2,train
sample_0090,-3.804057540616983,0.6461055450119012,2.019757443854306,0,1,train
sample_0091,2.1324478722299496,-0.5965944890769075,8.29048032122821,1,0,train
sample_0092,2.6078504861689744,-1.7586384560290544,6.8711420244124595,1,2,val
sample_0093,0.6127719756949626,-0.46186007988383815,3.943595812220157,0,0,train
sample_0094,2.7096717995456103,0.9337460542524059,4.868031476980349,1,0,train
sample_0095,-0.06204403635609257,4.589115727035575,5.292220155565109,0,0,train
sample_0096,0.2273282938199408,-0.03522259807234285,2.8493284205484484,0,2,test
sample_0097,-0.7245898164145039,1.447575903277797,2.9578045094681014,1,1,train
sample_0098,-4.745808732559048,0.9671542078544959,5.112761799104284,1,0,test
sample_0099,-3.9210857300669555,3.376786546896168,3.285260501219047,1,0,test
sample_0100,-4.685708143132658,6.053864851747243,2.4274491239151645,0,0,train
sample_0101,1.3641041126378042,-0.061737545840641284,1.7095088461883623,0,1,val
sample_0102,-1.856440189236733,0.02112111496355573,4.498668697404641,1,1,train
sample_0103,0.08570691164702815,3.088321754138144,1.9628821018534535,0,2,train
sample_0104,4.0756647392609295,2.3637829792526226,6.092639588018653,1,1,train
sample_0105,-2.5070777085112503,4.693414651472067,6.449604320650876,0,2,train
sample_0106,-0.8961707696437031,2.167856370651928,4.841368787433806,1,2,train
sample_0107,2.5555113854304867,0.2814158184258809,5.577905860936648,1,2,train
sample_0108,-2.7120183450837754,2.181309661384619,4.85161778621106,0,2,train
sample_0109,-4.23020090171207,3.2174071611658155,5.856507880573295,1,2,test
sample_0110,-2.1024854708623195,2.640964362394728,5.684832813295384,1,0,test
sample_0111,-3.387787127459956,2.0145480622145957,4.325603323727124,0,1,train
sample_0112,4.29697652342573,3.133349379178308,6.930249944096005,1,0,train
sample_0113,3.0812037956441696,3.3385911808913455,2.9297746720907516,0,2,train
sample_0114,1.3340375651042349,3.7643179820750543,1.75620699815744,1,1,test
sample_0115,3.714605901877178,2.2974197751792853,1.6773833244762846,0,0,test
sample_0116,3.0367207689911453,0.6657638393662912,2.599731117097954,1,0,train
sample_0117,-3.134299411139642,1.2934273728666457,0.4449609905593561,1,2,train
sample_0118,3.925589984899778,3.4130179330167136,3.9149415582782265,1,0,train
sample_0119,0.393422419156507,-0.6338713419744721,5.341674212281417,1,0,train
sample_0120,3.0744015516406247,1.7373466177458023,6.387442435140649,0,0,val
sample_0121,3.9609129992349317,0.21332237534527865,0.6670986320546212,0,0,train
sample_0122,-1.8199652502813612,1.057489645869635,1.7263599091730186,0,0,val
sample_0123,-3.8994807547232324,3.5569037252145974,5.966459332905487,0,2,train
sample_0124,-2.720648374580583,1.3821981360398068,2.8575042996397197,0,2,train
sample_0125,-0.7289221137374371,1.0928730963122977,5.257866776710884,0,0,train
sample_0126,3.1801476592249305,-1.7197122819598385,1.0482216158281537,0,2,train
sample_0127,3.6073058325634335,2.4925071320544414,8.22534036837348,1,2,test
sample_0128,-4.930478694688093,2.290968362282151,0.9673390442110235,1,1,test
sample_0129,0.10747302577565776,5.32650944661092,3.8309211442281166,1,0,val
sample_0130,-0.8258899685122101,0.38444353009399834,3.9045051215428024,1,2,train
sample_0131,-2.7789218952926973,1.4383006553278779,2.2182533292744306,0,2,train
sample_0132,-3.8013463266631717,1.4987673674215105,4.72076376203601,0,0,test
sample_0133,-1.6238482859637204,4.154906559526949,4.816195234451756,0,1,test
sample_0134,4.4290970391251925,0.8094089352260958,4.452674421716457,1,0,train
sample_0135,-1.7679706797924477,1.5580430515406785,2.184326003196199,0,1,train
sample_0136,0.1879062174336612,2.2157930194330784,1.8421046998428874,1,0,train
sample_0137,2.030189588951778,1.3732182463127163,2.384311574829385,0,0,val
sample_0138,-1.3637039762070602,0.10713277089894346,1.6288535126767116,0,0,val
sample_0139,4.717820827209607,1.388179985796615,7.146462624528196,0,0,train
sample_0140,4.624472949421111,3.147263499719544,2.5563666823136098,0,1,train
sample_0141,-2.4821770417463584,-1.0530305988221205,3.7503045112469686,1,1,train
sample_0142,-0.02751494107614505,1.265939348293752,5.9498158836495,1,2,train
sample_0143,-1.9912169018323036,-0.40024162987834644,1.5582786721050403,0,0,test
sample_0144,-2.151595056225324,3.390093257849685,0.9260097185208643,1,1,train
sample_0145,-4.6311305264546725,-2.0463738095675494,1.6339239470168678,0,1,train
sample_0146,1.0956433397989684,-0.11784369454317667,4.058261303479881,0,1,train
sample_0147,0.0267902322886151,1.7544237501290416,3.8585813219572738,0,0,val
sample_0148,-4.485212487500107,4.13104805846868,4.446566869406018,0,2,train
sample_0149,-2.2135353576338854,0.8684994778540244,3.0738559629980395,1,1,train
sample_0150,4.082658859666537,-0.11039905338639677,0.16925452745504127,0,0,test
sample_0151,-2.604381093330276,4.76231413888118,2.9985077020609596,0,1,train
sample_0152,-3.551051279087769,-1.896027800832488,6.4989321557357815,1,1,train
sample_0153,-0.10547239722436963,-3.397611913240164,7.65206505775894,0,2,train
sample_0154,4.856504541106007,1.8800289001066648,3.567526345475136,1,1,train
sample_0155,-2.5794472848849956,-0.004108448705222312,3.869196743103945,0,1,train
sample_0156,1.721355474058786,-1.0424656342614265,5.1894271075156855,0,0,train
sample_0157,2.6161961532871754,2.4167128945987066,7.508089075482434,0,0,train
sample_0158,-2.6236245600760033,1.4876014275423977,3.3346967030748695,0,2,train
sample_0159,2.2821634861185958,-0.12815726147345674,5.139077330830165,0,0,train
sample_0160,-1.322168672807468,-1.5606087973417888,2.104339680893792,0,0,train
sample_0161,1.3230583059357945,2.7449146565602893,1.0705217804677403,1,2,train
sample_0162,1.3352971076089473,2.300402355917322,2.294664477469697,0,1,train
sample_0163,0.357746840747585,0.8016482724412342,8.665846792291951,1,2,test
sample_0164,-4.097102299455917,4.693273992095332,5.21178099244395,1,0,test
sample_0165,3.35302495589238,-1.1401695326523051,1.172759545608358,0,2,train
sample_0166,-1.7921993502826417,-2.0510503418494777,5.381497217551892,1,1,train
sample_0167,-3.1348148960014575,-0.38381613976248885,1.2610718847149511,0,2,train
sample_0168,-4.592248584452361,0.9088279672890044,4.402734654016988,1,0,train
sample_0169,0.9089294318824184,1.4866788986453836,1.5045959906194868,0,0,train
sample_0170,1.7756436184228246,0.5175278842873403,1.1088718202113277,1,2,test
sample_0171,-4.834121710721439,1.7041107930285935,9.627941534100348,1,1,train
sample_0172,0.12093058299281001,-1.5030788483808881,2.554801291585549,0,2,train
sample_0173,-2.7350422480206205,3.887529208146519,5.145905417229823,1,1,val
sample_0174,1.4517279040944988,0.8356976432148624,3.4401063736847193,0,1,val
sample_0175,-3.2563357099500854,3.2345916631762552,1.3575280259311022,0,2,train
sample_0176,1.90937738102466,1.6854506927554083,2.7772440631992144,0,1,train
sample_0177,-1.132646536994626,1.913506438307568,1.3686777137222055,0,0,train
sample_0178,4.367299887367345,2.1395345604644076,14.248915851366796,0,2,train
sample_0179,-3.6247905585400675,1.89541712003463,5.7972891462300105,1,1,train
sample_0180,-1.589336489497415,2.285445519735088,3.3916771473039886,1,0,val
sample_0181,-3.8652647875941093,3.658305060264863,4.954945328210606,1,2,train
sample_0182,4.246936182785628,1.3930423394029403,5.542626776906635,0,0,test
sample_0183,3.7733935338098092,2.418007515177025,5.552795956710106,1,0,train
sample_0184,-2.420583722848444,0.8205286114255466,5.389960808547667,1,0,train
sample_0185,1.59984046034179,3.8802344308989456,5.106780011538774,1,1,train
sample_0186,3.172222002012159,-0.3527846041185394,3.6033022592616133,1,2,test
sample_0187,0.5520081159946235,4.601880865821631,9.145790247576441,1,2,train
sample_0188,0.29650578356006463,0.9196840987113132,3.7770980472407496,0,1,train
sample_0189,-2.581477090995483,-1.8615502042360963,3.466458747696599,0,2,train
sample_0190,-4.068972321941008,1.2562088298215786,3.801229989546193,1,0,train
sample_0191,3.972157579533267,-0.36210331494976167,4.003726255142518,0,2,train
sample_0192,4.004180571633304,2.681287097977448,0.6729957949050629,0,1,train
sample_0193,1.3310145727326796,-0.3052479586047818,1.619138270943448,1,0,test
sample_0194,-1.609702089512993,0.10763313357044058,3.0737752216525567,1,1,train
sample_0195,-1.507904253873391,-2.779081461891062,0.6361161135135212,0,0,test
sample_0196,2.259556788702394,0.09538736150184657,3.3875533672859834,1,0,train
sample_0197,3.9711025995257714,-3.8477586532579133,3.965186963342143,0,2,train
sample_0198,3.870864242651173,-2.1678056469714466,1.023457055663171,0,0,test
sample_0199,2.798755458576238,2.520829312288595,1.9817272862806345,1,1,val
sample_0200,1.4203164615428774,2.571600317301664,7.858390846755223,0,2,test
sample_0201,-4.158600350049512,1.8509151235699295,4.990583960491958,0,1,test
sample_0202,-3.3837128590538623,-0.933952286258426,4.79231556966996,0,0,val
sample_0203,3.985541885270793,0.9045772877160403,7.228852727288566,1,1,train
sample_0204,1.0642905965958995,0.9927949218188632,1.6474451251861382,1,1,train
sample_0205,-4.908029483833704,-1.3167293783850855,1.026499987549131,1,0,train
sample_0206,-3.9852845713396787,4.006796603534301,6.587731276224012,1,2,train
sample_0207,1.6350176910805576,2.7547245811513426,3.1410492001686703,0,1,train
sample_0208,-4.949384161537813,0.5580716523406721,1.6085580416656597,1,0,train
sample_0209,-3.3919194858250137,1.0537716779890616,0.6670092679442804,1,2,test
sample_0210,0.48733789366586144,1.416765615895105,3.8334459447891023,1,2,train
sample_0211,1.918951976926932,-3.0834697368485813,2.8663374163244684,1,2,val
sample_0212,1.5196125950260058,0.5056452349588061,2.492970952673866,0,1,train
sample_0213,-2.757306905394402,-0.3639684959955971,0.2629940988328842,0,1,train
sample_0214,2.1217922134753584,-1.003240019789831,9.06714348234335,0,1,test
sample_0215,-2.6275091250319993,0.4377994142280902,0.8427953819309163,1,2,test
sample_0216,-1.7460030184073227,4.595373053699046,2.691154417048065,1,1,train
sample_0217,2.4649140511802416,2.2816857225340197,2.3433249445399866,0,0,val
sample_0218,1.496328990472147,-0.1423579795655936,5.095598974221675,1,1,train
sample_0219,3.4922341049417795,2.145165562712317,0.675468815687768,1,1,train
sample_0220,1.5761289230034334,3.7987108731720043,4.674724817351769,0,2,test
sample_0221,0.6830860333547157,2.8492673658255376,3.8475365680087443,0,1,train
sample_0222,-4.063252321719075,1.1192607398403482,1.8996047526804716,1,0,train
sample_0223,-1.3228419694056646,-0.2938735554111478,4.558321577081269,1,2,val
sample_0224,-2.3479763231827455,2.3964466272271796,3.3830175097590005,1,0,train
sample_0225,-2.5601035662091642,1.7869707708434992,10.499644793739025,0,2,train
sample_0226,4.730105547524456,2.7903864400554648,2.864318839013003,0,2,train
sample_0227,-1.069022753332396,2.270343603363939,1.4234715164984668,0,1,test
sample_0228,3.9204655517711338,3.0991054306386703,4.707908632007749,0,0,train
sample_0229,1.311386259972629,-0.07047042312113594,2.5885974407998398,1,2,test
sample_0230,2.948113035416484,3.6347881312686514,3.3315040847207262,0,1,train
sample_0231,0.0263709310519209,1.3951992093847994,1.0349655919314913,0,2,train
sample_0232,0.7690388462635909,5.150521745250531,5.1504865097451304,1,2,train
sample_0233,-0.07482306181136078,-0.3783756361791357,2.2610240967408695,1,2,train
sample_0234,-3.047570122019555,4.471927606330499,4.068033884650543,1,2,train
sample_0235,2.2245211526150532,1.3958215669252956,12.225174893923642,0,2,train
sample_0236,-2.192276375591442,-0.3028360072288967,2.7353319430977376,1,2,test
sample_0237,-4.756840335685462,0.032228331891356876,5.6476913312978985,1,1,train
sample_0238,1.4547229590716784,0.35930538361135966,2.8869678311393967,0,2,train
sample_0239,-3.2288932059295106,1.8483318928038328,1.9220711679983513,0,0,train
sample_0240,4.4045858435291425,2.0456709760709995,8.04117988751995,1,1,train
sample_0241,4.539285770025874,-0.147400007877158,0.4634710298174779,0,0,train
sample_0242,4.148643902204485,0.9512908154780343,6.670125675496156,1,2,train
sample_0243,-1.2984129974455563,5.284540717223727,0.3953445338394307,1,0,test
sample_0244,-4.845433834711326,4.455086340201422,6.20996764209987,0,2,train
sample_0245,4.283185625877254,1.872647339348064,3.3703222165010747,1,2,val
sample_0246,-0.7181585168268567,1.0760069563364005,1.4271306980654273,0,1,train
sample_0247,4.666548190436696,1.2400626534365227,2.388953086373753,0,1,train
sample_0248,4.636199770892528,2.227035945460833,5.437970916829839,0,2,train
sample_0249,3.5300945546736013,-1.0455851303968111,11.483681776527911,1,1,train
sample_0250,-2.055511079304143,0.4852469251533098,0.7061027739016822,0,0,train
sample_0251,-1.1490227139807474,-2.337168147755179,1.5095658309098163,0,1,val
sample_0252,3.5113667151685686,1.7984462452105585,0.9432171972482295,1,1,train
sample_0253,-1.8307799484372236,2.294391879405482,2.8684828203290462,1,0,train
sample_0254,-3.305072533139075,0.03362707540125198,6.324236345042485,1,1,test
sample_0255,0.5680126245835018,4.147973526580065,0.815005989018,1,2,test
sample_0256,4.36154774160781,-1.4515313260046825,3.302217131283209,0,0,train
sample_0257,1.9602979667497298,-1.9287497604196404,6.18767269359247,0,2,train
sample_0258,0.7006117008936492,1.448903637119944,2.360683885167278,0,0,train
sample_0259,-4.028235062292315,3.094196605224309,3.8738539655524904,1,2,test
sample_0260,1.1500722669916978,4.367855382915737,7.650499154856307,1,2,test
sample_0261,4.900538501042632,0.08223147426211996,1.262157479512149,0,1,test
sample_0262,-3.59915984763476,3.1573616668625912,0.5271304546737136,1,2,train
sample_0263,0.1832965236373676,0.9229830609985856,4.228663008686314,1,1,train
sample_0264,3.7737307192795537,0.6547454001183608,4.314027503824651,0,0,val
sample_0265,2.407686177542044,2.767319874973345,2.226939191054343,0,2,val
sample_0266,1.9701574099526802,2.3046457568268393,1.875348308685486,1,2,train
sample_0267,2.024840839871093,-2.152784313968499,3.4222943734875595,1,0,test
sample_0268,-1.4050884878024483,3.9530806994517915,1.2404017912450325,1,0,train
sample_0269,-2.0640815573550664,3.760182708294903,1.2423006862240136,0,2,train
sample_0270,3.093611554785136,-0.25112540301905883,5.413157807048115,0,0,val
sample_0271,3.1011339467918084,1.791607066874818,1.1599885711749638,0,1,train
sample_0272,3.6707231858010374,1.9880603725654775,0.5679958517605974,0,0,train
sample_0273,4.132405525564714,1.5213475316478142,1.8720833098482714,0,0,test
sample_0274,0.11342398860937841,-0.10061030769084023,2.272280705589322,1,2,train
sample_0275,0.015162946871996041,-0.3432467358761031,4.6743632429936035,1,1,train
sample_0276,2.9829517896677515,0.9488918580171094,2.016341034546584,1,0,train
sample_0277,1.4996393077776515,3.3454580385187294,8.519746193926212,0,1,train
sample_0278,2.0196687725770337,2.087200309188865,3.5585122546091714,0,1,train
sample_0279,2.95792669436101,0.2587713358277881,1.6516318696264156,0,1,train
sample_0280,3.9000534181756628,2.5433974212966897,4.5345401436010775,1,2,val
sample_0281,-1.620048431484642,-4.697085241260151,8.419881643920798,0,0,train
sample_0282,-1.24417047360056,3.297531400744207,5.31063519311773,0,2,train
sample_0283,-4.06018060159131,-2.4794275575561993,0.7637189966198391,1,0,train
sample_0284,0.7828014099617402,0.2751181171937357,2.436964899206213,0,0,train
sample_0285,-4.640577262032579,-1.2393397892522877,4.02197959635031,1,2,test
sample_0286,-0.3440198186753989,-1.5893629514418115,5.1581089612556115,0,1,val
sample_0287,0.4264463470757658,3.321653574757039,2.8823429263938434,0,1,train
sample_0288,-2.134587478717156,0.06459759737621729,2.5720329624267095,1,0,train
sample_0289,0.9083326056901075,1.6930077634614316,10.449033851481058,1,2,train
sample_0290,-4.694997500609506,0.9061588422416319,5.365323114290633,1,1,train
sample_0291,-4.626518112507856,1.954081654446243,4.544654806316365,1,1,val
sample_0292,3.2260056065965834,1.1536437821205108,2.0896199512763585,1,0,train
sample_0293,-1.3980935858873709,-1.5659844483771392,1.2232385871284177,1,0,train
sample_0294,-3.7293948734811524,2.99253363889428,4.60176589737933,0,2,val
sample_0295,0.2224326005480437,0.01248683367737502,5.776150853640308,0,0,train
sample_0296,2.6999355309861084,-2.113163797319502,3.318905341742913,1,1,train
sample_0297,-2.8417897250315685,0.14376967806817498,5.3753204528302385,0,1,train
sample_0298,1.2289047581900023,4.001519581268622,5.471025802159212,1,1,train
sample_0299,-4.14652535006232,2.7004434842269855,6.041480579865322,0,1,test
sample_0300,-4.483182788313923,0.3026957311842816,0.7495061912702228,1,2,test
sample_0301,0.3135463156814797,0.30148459136314243,2.493856523169425,0,2,train
sample_0302,0.40635121610106495,0.35672989756523477,4.800358321290678,0,0,val
sample_0303,1.374299014982066,5.153495967121682,3.463507129553185,0,0,train
sample_0304,2.260913337226615,1.7638709044631067,5.482856504373367,0,0,train
sample_0305,4.758520794625346,1.8600832943821393,4.542706879499245,0,2,train
sample_0306,0.1630034830119529,3.0605669080636844,0.2917795131815726,1,1,train
sample_0307,-1.7704352705875404,1.477578318053027,7.044443495621636,1,0,test
sample_0308,2.9518619476870365,0.48191570835859376,2.243537709324745,1,1,val
sample_0309,-2.291677487379258,0.6073003018300435,1.5650607237283816,0,0,test
sample_0310,-0.6102857929436389,0.8567974811718722,6.8873793222045805,1,0,test
sample_0311,-4.215436186577341,0.9255555269803168,5.193710923761968,0,0,train
sample_0312,-4.746492565845425,2.4552590872739595,7.543903236151614,0,0,train
sample_0313,4.6264841467792515,1.1038917716145988,4.054403620123017,0,0,train
sample_0314,3.359801205122059,2.4652801544311584,2.467884920263619,1,1,val
sample_0315,1.9597420609369802,0.8385668397828354,3.7174367539583897,0,0,test
sample_0316,-0.9104705558573016,1.1572703806321811,1.3193280540038552,1,1,train
sample_0317,-3.2670567992915425,-2.9964013690642153,0.9185553406777388,1,2,train
sample_0318,-3.4356295732891393,2.8326553494049627,1.9582670358563425,0,0,train
sample_0319,-2.497571018354047,1.6929769517959854,9.06862281512198,0,1,test
sample_0320,0.4922666470612045,2.9960202197193047,2.1324629206549224,1,2,test
sample_0321,2.145959227000623,-4.792510756387379,0.5827628511006576,1,2,test
sample_0322,1.6019737671773129,5.176749409561455,2.946791393966711,1,2,val
sample_0323,-2.2006610305405716,0.7208207436896525,2.108616977340875,1,1,test
sample_0324,4.5486528066319405,3.216365633475033,7.130882360140575,1,0,train
sample_0325,2.3789691669576847,-1.0798118542510617,8.64648893795019,1,0,val
sample_0326,0.5435405251140066,2.225547810125139,2.3756842047166122,0,1,train
sample_0327,1.1172074623435222,-1.1068311263473123,4.051550407992279,1,0,test
sample_0328,-0.8039993757221007,-0.24753792139161024,4.302114614166582,1,1,val
sample_0329,-2.5226901049884254,4.828062707733572,3.209284928205047,1,0,test
sample_0330,-1.4402732134873841,0.6186351984733068,2.773129139078611,1,2,val
sample_0331,2.578461104643691,1.4348657463594456,1.4711461095080134,0,0,train
sample_0332,-4.856065113702441,2.740135461377508,0.4777180385964778,0,1,val
sample_0333,-3.8392735949308374,1.9913637759452092,1.4632610032416327,1,1,train
sample_0334,-4.5399735797824725,1.300837810287153,3.122505355083242,1,2,test
sample_0335,-4.592711976810299,1.7299220049324509,0.8165521038748204,1,1,test
sample_0336,3.5546058401100726,5.80683117047655,3.897646005453357,0,0,train
sample_0337,2.036578593800237,0.8847624059328292,3.515604532354284,0,0,val
sample_0338,-0.2582617091267476,1.402198093429935,2.1116764746424956,0,2,train
sample_0339,-4.021658393489985,3.101308792015224,2.679970261892569,0,1,train
sample_0340,-0.08384124883167665,3.2110518659159677,0.977833280729296,0,2,val
sample_0341,-0.2652822921943434,3.3740606111207603,5.967439820472345,0,0,train
sample_0342,-3.267981300899848,2.2774604440583692,5.897910573692637,1,2,train
sample_0343,-0.6614835076202699,-1.286009825460967,1.1606666955451852,0,1,train
sample_0344,-1.0149526560262654,4.266863064602192,1.1938443027955343,0,2,train
sample_0345,1.1585009805221649,-1.292690786037376,1.4812424938148376,1,1,test
sample_0346,1.3509365086764378,1.6052709304780666,4.969612937711723,0,1,test
sample_0347,-4.546959902279555,-0.5085517000387159,4.292331829579904,1,0,train
sample_0348,-1.2538738537352878,0.8717233068140149,6.834659537933149,0,0,train
sample_0349,1.2585991571423634,1.6575248206069608,7.356962231101129,1,0,train
sample_0350,0.03136258580087681,1.6427144309005461,0.7369422523438828,1,1,test
sample_0351,3.564898411883222,1.8438415084705695,4.845241979680965,1,2,train
sample_0352,1.5869363161894503,4.227422538117294,7.160736493350659,1,1,test
sample_0353,-3.370655729185703,1.9070686030279598,2.543015343029592,1,0,train
sample_0354,-4.294312525995702,0.5116867294187026,3.2728909941981006,0,0,test
sample_0355,1.4241927820631561,2.9281743365767143,2.9031147305182743,0,2,train
sample_0356,-4.734886894583782,3.378940977849281,3.0052655222766385,1,0,test
sample_0357,0.8577558127346325,-1.455215630273985,5.95342179866024,1,0,train
sample_0358,4.402302414249576,2.194800139699716,10.198723851314876,1,0,train
sample_0359,0.75474177875879,2.4023454846217964,8.323778786984345,0,2,train
sample_0360,-1.118300737934781,0.40487299328001614,2.196012838344628,1,1,val
sample_0361,1.4328821844235318,3.751413626623239,4.060987665009615,1,0,train
